run_name,preset,arch,hidden_dim,num_layers,dropout,l2,norm,activation,amp,grad_accum,batch_size,accuracy,roc_auc,pr_auc,f1_score,precision,recall,training_time_seconds,peak_vram_allocated_mb,params,report_path
large_plain_hd768_L8_do0.25_l20.0001_bs96_amp1,large,plain,768,8,0.25,0.0001,layernorm,gelu,True,4,96,0.6615191031800504,0.7249298020709464,0.7154824516355314,0.6602476830968589,0.6615172232448068,0.6589830064503455,4914.751137807994,418.0830078125,21066753,/home/stijn/lilly/project/dnn/reports/classification_large_plain_hd768_L8_do0.25_l20.0001_bs96_amp1.json
large_residual_hd768_L8_do0.2_l20.0001_bs96_amp1,large,residual,768,8,0.2,0.0001,layernorm,gelu,True,4,96,0.6615191031800504,0.7249298020709464,0.7154824516355314,0.6602476830968589,0.6615172232448068,0.6589830064503455,5062.071286917984,418.0830078125,21066753,/home/stijn/lilly/project/dnn/reports/classification_large_residual_hd768_L8_do0.2_l20.0001_bs96_amp1.json
large_residual_hd768_L8_do0.3_l20.0005_bs64_amp1,large,residual,768,8,0.3,0.0005,layernorm,gelu,True,6,64,0.6615027617086643,0.7248770538229199,0.7155362231463098,0.6611151102676527,0.6606611516201811,0.6615696931993058,7089.645779071987,418.07958984375,21066753,/home/stijn/lilly/project/dnn/reports/classification_large_residual_hd768_L8_do0.3_l20.0005_bs64_amp1.json
medium_plain_hd512_L12_do0.25_l20.0001_bs512_amp1,medium,plain,512,12,0.25,0.0001,layernorm,gelu,True,1,512,0.6618622740791581,0.7248580087374488,0.7153438395774341,0.664221731792808,0.6584306534118328,0.6701155823319472,905.9304997840081,202.7509765625,9499393,/home/stijn/lilly/project/dnn/reports/classification_medium_plain_hd512_L12_do0.25_l20.0001_bs512_amp1.json
medium_plain_hd768_L8_do0.1_l20.0001_bs512_amp1,medium,plain,768,8,0.1,0.0001,layernorm,gelu,True,1,512,0.6618622740791581,0.7248580087374488,0.7153438395774341,0.664221731792808,0.6584306534118328,0.6701155823319472,904.0300659850036,202.7509765625,9499393,/home/stijn/lilly/project/dnn/reports/classification_medium_plain_hd768_L8_do0.1_l20.0001_bs512_amp1.json
medium_plain_hd768_L8_do0.2_l20.0001_bs512_amp1,medium,plain,768,8,0.2,0.0001,batchnorm,gelu,True,1,512,0.6618622740791581,0.7248580087374488,0.7153438395774341,0.664221731792808,0.6584306534118328,0.6701155823319472,884.3556877350056,202.7509765625,9499393,/home/stijn/lilly/project/dnn/reports/classification_medium_plain_hd768_L8_do0.2_l20.0001_bs512_amp1.json
medium_residual_hd1024_L6_do0.2_l20.0001_bs512_amp1,medium,residual,1024,6,0.2,0.0001,layernorm,gelu,True,1,512,0.6618622740791581,0.7248580087374488,0.7153438395774341,0.664221731792808,0.6584306534118328,0.6701155823319472,942.4452543060033,202.7509765625,9499393,/home/stijn/lilly/project/dnn/reports/classification_medium_residual_hd1024_L6_do0.2_l20.0001_bs512_amp1.json
medium_residual_hd768_L8_do0.2_l20.0001_bs512_amp1,medium,residual,768,8,0.2,0.0001,layernorm,gelu,True,1,512,0.6618622740791581,0.7248580087374488,0.7153438395774341,0.664221731792808,0.6584306534118328,0.6701155823319472,891.3935246579931,202.7509765625,9499393,/home/stijn/lilly/project/dnn/reports/classification_medium_residual_hd768_L8_do0.2_l20.0001_bs512_amp1.json
medium_residual_hd768_L8_do0.35_l20.0001_bs512_amp1,medium,residual,768,8,0.35,0.0001,layernorm,gelu,True,1,512,0.6618622740791581,0.7248580087374488,0.7153438395774341,0.664221731792808,0.6584306534118328,0.6701155823319472,963.4282185089978,202.7509765625,9499393,/home/stijn/lilly/project/dnn/reports/classification_medium_residual_hd768_L8_do0.35_l20.0001_bs512_amp1.json
medium_residual_hd768_L8_do0.3_l20.0001_bs512_amp1,medium,residual,768,8,0.3,0.0001,layernorm,gelu,True,1,512,0.6618622740791581,0.7248580087374488,0.7153438395774341,0.664221731792808,0.6584306534118328,0.6701155823319472,894.2512085860071,202.7509765625,9499393,/home/stijn/lilly/project/dnn/reports/classification_medium_residual_hd768_L8_do0.3_l20.0001_bs512_amp1.json
tiny_plain_hd768_L8_do0.2_l20.0001_bs512_amp1,tiny,plain,768,8,0.2,0.0001,layernorm,gelu,True,1,512,0.6612903225806451,0.7248225777964503,0.7154760245618658,0.6623552217896297,0.6590805939181742,0.6656625519793065,125.21346808200178,22.99609375,207361,/home/stijn/lilly/project/dnn/reports/classification_tiny_plain_hd768_L8_do0.2_l20.0001_bs512_amp1.json
tiny_residual_hd768_L8_do0.2_l20.0001_bs512_amp1,tiny,residual,768,8,0.2,0.0001,layernorm,gelu,True,1,512,0.6612903225806451,0.7248225777964503,0.7154760245618658,0.6623552217896297,0.6590805939181742,0.6656625519793065,130.3071270720102,22.99609375,207361,/home/stijn/lilly/project/dnn/reports/classification_tiny_residual_hd768_L8_do0.2_l20.0001_bs512_amp1.json
large_residual_hd768_L8_do0.2_l20.0001_bs128_amp1,large,residual,768,8,0.2,0.0001,layernorm,gelu,True,4,128,0.6616988593652973,0.7247676963963059,0.7148609089247089,0.6626030835424883,0.6596359152415875,0.6655970662388265,3703.261189655008,418.08642578125,21066753,/home/stijn/lilly/project/dnn/reports/classification_large_residual_hd768_L8_do0.2_l20.0001_bs128_amp1.json
small_plain_hd768_L8_do0.15_l20.001_bs512_amp1,small,plain,768,8,0.15,0.001,layernorm,gelu,True,1,512,0.6610778834526261,0.7247554118114627,0.7152812348460685,0.660155993969981,0.6607406435529898,0.6595723781146655,241.38862701099424,45.20654296875,1335297,/home/stijn/lilly/project/dnn/reports/classification_small_plain_hd768_L8_do0.15_l20.001_bs512_amp1.json
small_plain_hd768_L8_do0.0_l20.0_bs512_amp1,small,plain,768,8,0.0,0.0,layernorm,gelu,True,1,512,0.6610942249240122,0.7247508405423148,0.7152776657279316,0.6600442586673223,0.6608784138655462,0.6592122065420255,246.13481017199229,45.20654296875,1335297,/home/stijn/lilly/project/dnn/reports/classification_small_plain_hd768_L8_do0.0_l20.0_bs512_amp1.json
small_residual_hd768_L8_do0.2_l20.0001_bs512_amp1,small,residual,768,8,0.2,0.0001,layernorm,gelu,True,1,512,0.6611432493381704,0.7247465715676333,0.7152716573114316,0.6601658526992035,0.6608590084325885,0.6594741495039456,228.57775122699968,45.20654296875,1335297,/home/stijn/lilly/project/dnn/reports/classification_small_residual_hd768_L8_do0.2_l20.0001_bs512_amp1.json
medium_residual_hd768_L8_do0.1_l21e-05_bs512_amp1,medium,residual,768,8,0.1,1e-05,layernorm,gelu,True,1,512,0.6616825178939112,0.7246999306291881,0.7151166685662973,0.6622950819672131,0.6598946820959564,0.6647130087423464,489.4654504959908,202.7509765625,9499393,/home/stijn/lilly/project/dnn/reports/classification_medium_residual_hd768_L8_do0.1_l21e-05_bs512_amp1.json
